text,text_clean,skor sentimen,sentimen
"ADC Shopian, Mushtaq Ah Simnani with others to celebrate....
#IncredibleIndia #Integration
#NUFC  #Qatar2022… https://t.co/1PZMtW8tjj",adc shopian mushtaq ah simnani with others celebrate incredibleindia integration nufc qatar,0,netral
"Lebih 45 negara telah mengesahkan ketibaan varian paling bahaya setakat ini.

#Omicron #Russia… https://t.co/9YqoVxXEwk",negara mengesahkan ketibaan varian bahaya setakat omicron russia,-1,negatif
BREAKING NEWS! uNdunankulu kaZulu Inkosi Mangosuthu  Buthelezi Sephinde watholakala ukuthi sephindwe wahaqwa igciwa… https://t.co/4TVXHd2Fov,breaking news undunankulu kazulu inkosi mangosuthu buthelezi sephinde watholakala ukuthi sephindwe wahaqwa igciwa,0,netral
"RT @H2OComms: Penularan #Omicron - Pengerusi Msyt Menteri Kuartet #COVID19 @HishammuddinH2O :-

⛔🛫 Kawalan sempadan antarabangsa yg lebih k…",penularan omicron pengerusi msyt menteri kuartet covid kawalan sempadan antarabangsa k,-1,negatif
Satgas Penanganan Covid-19 menyebut Indonesia telah siap jika terdapat kasus Omicron ditemukan di Tanah Air -… https://t.co/lXUKiUrAIB,satgas penanganan covid menyebut indonesia omicron ditemukan tanah air,0,netral
"Thailand Konfirmasi Kasus Pertama Varian Omicron, dari Warga AS yang Lakukan Perjalanan ke Spanyol… https://t.co/W0dQPOBRJ5",thailand konfirmasi varian omicron warga as lakukan perjalanan spanyol,1,positif
"RT @Qilalalas: Macam biasalah.

Bila dah betul2 teruk baru gelabah nak tutup border.

Pastu pkp berbulan2. 🤭

#previousRT #omicron",biasalah teruk gelabah tutup border pastu pkp berbulan previousrt omicron,-1,negatif
"RT @JaPenWPKL: 𝗟𝗮𝗻𝗴𝗸𝗮𝗵-𝗹𝗮𝗻𝗴𝗸𝗮𝗵 𝗽𝗲𝗻𝗰𝗲𝗴𝗮𝗵𝗮𝗻 𝗽𝗲𝗻𝘂𝗹𝗮𝗿𝗮𝗻 𝘃𝗮𝗿𝗶𝗮𝗻 𝗢𝗺𝗶𝗰𝗿𝗼𝗻 𝘆𝗮𝗻𝗴 𝗱𝗶𝘀𝗮𝗿𝗮𝗻𝗸𝗮𝗻 @WHO

#Omicron 
#KitaJagaKita
#JagaNegaraKita
#KitaMesti…",omicron kitajagakita jaganegarakita kitamesti,0,netral
kia isbar lockdown lagega?? India me #corona #omicron news me charche shuru hochuke kia me #dalgona ki taiyyari shuru kardu 😒 #coronavirus,kia isbar lockdown lagega india me corona omicron news me charche shuru hochuke kia me dalgona taiyyari shuru kardu coronavirus,0,netral
"Cegah Omicron, Pelaku Perjalanan Diminta Taati Aturan

Selengkapnya Klik Tautan Berikut ini
#Jakarta #Aturan… https://t.co/61C5qr3MvB",cegah omicron pelaku perjalanan taati aturan klik tautan jakarta aturan,0,netral
"Omicron Mengintai, Vaksinasi Anak 6-11 Tahun Diminta Segera Dilakukan

Selengkapnya Klik Tautan Berikut ini… https://t.co/CQCr3BrehY",omicron mengintai vaksinasi anak klik tautan,0,netral
"RT @UtamiZoya: Mengupas DAJJAL MELALUI AR-RU'YA ASH-SHADIQAH  YG RELATIF TIDAK DIKUPAS DI KITAB ULAMA ATAU DALAM KAJIAN CERAMAH
#semerumele…",mengupas relatif kajian ceramah semerumele,0,netral
"INDONESIA SIAP HADAPI OMRICON
#BeritaTerkini #beritaViral #berita #NEWS #NewsUpdate #Viral #viralTiktok… https://t.co/TwPmhzgloN",indonesia hadapi omricon beritaterkini beritaviral berita news newsupdate viral viraltiktok,0,netral
"RT @vijay27anand: 21 Confirmed Omicron Cases reported in India so far. #Omicronindia #Omicron 
Rajasthan - 9
Maharashtra - 8
Karnataka - 2…",confirmed omicron cases reported india so far omicronindia omicron rajasthan maharashtra karnataka,0,netral
"RT @bernamadotcom: Singapura: Satu lagi kes import varian Omricon dikesan pada ujian awal COVID-19 

#COVID19 #Omicron 

https://t.co/1reoP…",singapura import varian omricon ujian covid covid omicron,0,netral
"Ancaman varian Omicron mulai mengintai, Covid-19 di Indonesia masih cukup terkendali. Percepatan vaksinasi tetap me… https://t.co/jQjqlOm38j",ancaman varian omicron mengintai covid indonesia terkendali percepatan vaksinasi me,0,netral
Presiden Afsel nyatakan pihaknya terus mengawasi tingkat infeksi dan rawat inap untuk antisipasi lonjakan pasien ak… https://t.co/6NhVLm98jo,presiden afsel nyatakan mengawasi tingkat infeksi rawat inap antisipasi lonjakan pasien ak,-1,negatif
"Ifundwe kakhulu #MarsHillBlog Post of the week.
Esixwayisweni se-WHO ngengozi enkulu emhlabeni wonke evela ku-Omicr… https://t.co/kitmCbVcHm",ifundwe kakhulu marshillblog post of the week esixwayisweni sewho ngengozi enkulu emhlabeni wonke evela kuomicr,0,netral
"Postingan #MarsHillBlog paling banyak dibaca minggu ini.
Pada peringatan WHO tentang risiko tinggi di seluruh Globe… https://t.co/Jc28aEoXt2",postingan marshillblog dibaca minggu peringatan who risiko globe,-1,negatif
Waspada! Varian Omicron Masuk Thailand https://t.co/KZL3O0JqDQ #Omicron #Thailand #VarianOmicron https://t.co/oa3jLErxok,waspada varian omicron masuk thailand omicron thailand varianomicron,-1,negatif
"Perlukah vaksinasi dosis ketiga untuk cegah varian Omicron?

#merahputihcom #vaksinasi #omicron https://t.co/9oeXgtsKis",vaksinasi dosis ketiga cegah varian omicron merahputihcom vaksinasi omicron,0,netral
"RT @KompasData: Ketika Afrika disorot karena varian Omicron, dunia alpa bahwa ada negara-negara miskin di sana kurang mendapat jatah vaksin…",afrika disorot varian omicron dunia alpa negaranegara miskin jatah vaksin,-2,negatif
Cara paling berkesan mencegah varian #omicron adalah kesedaran orang ramai mengenai kepentingan menjaga &amp; amalkan n… https://t.co/nPp0Kw0A3z,berkesan mencegah varian omicron kesedaran orang ramai kepentingan menjaga amalkan n,1,positif
"Saringan ketat COVID-19 di pintu masuk negara, PCR, status lengkap vaksinasi dan pematuhan SOP cukup untuk memastik… https://t.co/qg87WD0Wtg",saringan ketat covid pintu masuk negara pcr status lengkap vaksinasi pematuhan sop memastik,0,netral
"semua org perlu bantu supaya kurangkan beban. 

kalau tidak mahu sukarela, #optout.
https://t.co/wakfbDzpfh
doktor,… https://t.co/pps0pCv147",org bantu kurangkan beban mahu sukarela optout doktor,1,positif
"Kasus varian Omicron terdeteksi di kapal pesiar Norwegia.

Selengkapnya: 👇🏻 #Omicron https://t.co/ZaxP2jbWgC",varian omicron terdeteksi kapal pesiar norwegia omicron,0,netral
"Bagaimanapun kata Dr Angelique, meskipun tidak jauh beza dengan gejala Covid-19 yang lain tetapi apa membezakannya… https://t.co/QOnn7Krq0o",dr angelique beza gejala covid membezakannya,-1,negatif
"""Pesakit tidak mengalami batuk-batuk, tidak juga hilang deria bau &amp; rasa,"" katanya ketika ditemu bual bersama BBC.… https://t.co/RaYfIWY0Ld",pesakit mengalami batukbatuk hilang deria bau ditemu bual bbc,-3,negatif
"Ketua Persatuan Perubatan Afrika Selatan, Dr Angelique Coetzee berkata, varian ini boleh merebak dengan lebih cepat… https://t.co/X6a2CiXFHu",ketua persatuan perubatan afrika selatan dr angelique coetzee varian merebak cepat,1,positif
"Gejala Omicron mungkin ringan, tapi ketahui sebab mengapa ia berbahaya.
Omicron yang ketika ini menggemparkan selur… https://t.co/nWCzrMxu2l",gejala omicron ringan ketahui berbahaya omicron menggemparkan selur,-2,negatif
"Ketika Afrika disorot karena varian Omicron, dunia alpa bahwa ada negara-negara miskin di sana kurang mendapat jata… https://t.co/L5C2KX7bgt",afrika disorot varian omicron dunia alpa negaranegara miskin jata,-2,negatif
"Risau tak dapat raya lagi tahun depan 😔
#politik
#benua
#omicron
#covid19
#singapura
https://t.co/QzviOFnV0N",risau raya politik benua omicron covid singapura,-1,negatif
"RT @MDzunn: #UINWSCARICUAN
#UINWSCARICUAN 
#UINWSCARICUAN 
#UINWSCARICUAN 

Ngeneki kapan aku arep rabi?

#ENHYPEN
#İstanbul 
#SpiderManNoW…",uinwscaricuan uinwscaricuan uinwscaricuan uinwscaricuan ngeneki arep rabi enhypen istanbul spidermannow,0,netral
"Saham Korsel Jatuh Karena Omicron Menyebar, Data Inflasi AS Jadi Fokus https://t.co/YtlZx60zAl #korsel… https://t.co/t2iniZOAhW",saham korsel jatuh omicron menyebar data inflasi as fokus korsel,-1,negatif
"#BuletinFMHighlights

• Singapura catat satu lagi kes import Omicron
• Amukan Semeru ranapkan Lumajang
• Aung San S… https://t.co/8Imgkr7gvs",buletinfmhighlights singapura catat import omicron amukan semeru ranapkan lumajang aung san,0,netral
Ada yang lebih berbahaya dari varian #Omicron yang mampu merubah manusia menjadi buas... Varian ohlapar.,berbahaya varian omicron merubah manusia buas varian ohlapar,-2,negatif
"Varian Omicron Sudah Menyebar ke 40 Negara, WHO Sebut Tidak Perlu Takut
 
https://t.co/f1luG5J1aw #Omicronindia #Omicron #OmicronVarient",varian omicron menyebar negara who takut omicronindia omicron omicronvarient,-1,negatif
"@smucler #COVID19/#oMICROn in SA.
#panic? 🤣
https://t.co/1YvBMjuoq1",covidomicron sa panic,0,netral
"Thailand telah deteksi kasus pertama varian baru Covid-19 Omicron.

Selengkapnya: 👇🏻 #Omicron https://t.co/GxJYXzkJW3",thailand deteksi varian covid omicron omicron,0,netral
"@brambuscher @viralvideovlogs #COVID19/#oMICROn in SA
https://t.co/1YvBMjuoq1",covidomicron sa,0,netral
"Satgas Penanganan Covid-19 Bagian Perlindungan Nakes

2. Dicky Budiman
Epidemiolog Griffith University

Kami juga a… https://t.co/oEPMaoF6ez",satgas penanganan covid perlindungan nakes dicky budiman epidemiolog griffith university a,1,positif
Sementara investor tetap menghindari risiko karena kekhawatiran atas varian baru virus corona #Omicron yang terus b… https://t.co/F0CS8kbF46,investor menghindari risiko kekhawatiran varian virus corona omicron b,-3,negatif
Saham Jepang tergelincir terseret kekhawatiran #Omicron dan SoftBank.  Saham-saham Jepang tergelincir pada perdagan… https://t.co/etsRiqp6hB,saham jepang tergelincir terseret kekhawatiran omicron softbank sahamsaham jepang tergelincir perdagan,-2,negatif
"BİST100 endeksi
https://t.co/BqaxMI3MIE
#BİST100 #Omicron  #TÜFE #Dolar  #TL #TCMB",bist endeksi bist omicron tfe dolar tl tcmb,0,netral
warga #Jepang akan diberikan #vaksin dosis ketiga utk memperkuat daya tahan tubuh melawan virus #Corona varian… https://t.co/7CSO5Sqnwb,warga jepang vaksin dosis ketiga utk memperkuat daya tahan tubuh melawan virus corona varian,-1,negatif
RT @ohtweet: Singapura Tambah Satu Lagi Kes Varian Omicron | https://t.co/Qjqp40yjhZ #covid19 #ohtidak #Omicron #singapura,singapura varian omicron covid ohtidak omicron singapura,0,netral
"Antisipasi Varian Baru, Masyarakat  Diminta Tetap Disiplin Prokes https://t.co/ZveAbYblu2 #Prokes #berita #nusabali… https://t.co/M3UrHrYdQi",antisipasi varian masyarakat disiplin prokes prokes berita nusabali,0,netral
"Pemkab Cilacap: Waspada Varian Omicron!

#omicron #covid #cilacap https://t.co/lmTp4IP7DO",pemkab cilacap waspada varian omicron omicron covid cilacap,-1,negatif
"RT @erwinahmad_: ""Walaupun belum ada #Omicron  di Malaysia, langkah pencegahan perlu dibuat utk semua warga emas supaya menerima dos pengga…",omicron malaysia langkah pencegahan utk warga emas menerima dos pengga,1,positif
RT @erwinahmad_: Warga emas dan mereka yang ada komorbiditi serius juga dinasihatkan supaya mengelak daripada membuat perjalanan ke luar ne…,warga emas komorbiditi serius dinasihatkan mengelak perjalanan,0,netral
RT @erwinahmad_: Varian #Omicron  mempunyai risiko yang lebih tinggi bagi jangkitan semula berbanding varian lain. Mutasi #Omicron  juga be…,varian omicron risiko jangkitan berbanding varian mutasi omicron,-1,negatif
"21 Confirmed Omicron Cases reported in India so far. #Omicronindia #Omicron 
Rajasthan - 9
Maharashtra - 8
Karnatak… https://t.co/nEFiOV2ugz",confirmed omicron cases reported india so far omicronindia omicron rajasthan maharashtra karnatak,0,netral
"RT @muhammadiyah: Ketika virus terus mengalami perubahan gen dari waktu ke waktu, sementara protokol kesehatan semakin diabaikan, maka akan…",virus mengalami perubahan gen protokol kesehatan diabaikan,-2,negatif
Biar gak bosan atau brandnya makin teruwow harus keluarin varian dan tingkatkan level..? Itu mungkin berlaku bagi p… https://t.co/M9hGplLWBl,biar gak bosan brandnya teruwow keluarin varian tingkatkan level berlaku p,-2,negatif
Varian Omicron muncul di lebih banyak negara dan telah menyebar ke sekitar sepertiga negara bagian AS. Di Korea Sel… https://t.co/QNOsOHRBua,varian omicron muncul negara menyebar sepertiga negara as korea sel,0,netral
Beberapa maskapai penerbangan Tiongkok hentikan pelayanan dari 37 negara terkait kasus positif varian baru Covid-19… https://t.co/ymbShQ7k6Q,maskapai penerbangan tiongkok hentikan pelayanan negara terkait positif varian covid,2,positif
"RT muhammadiyah ""Ketika virus terus mengalami perubahan gen dari waktu ke waktu, sementara protokol kesehatan semak… https://t.co/qWoNmC5x8w",muhammadiyah virus mengalami perubahan gen protokol kesehatan semak,-1,negatif
Novavax akan mulai produksi komersial vaksin COVID-19 yang dikembangkan khusus untuk varian Omicron pada Januari 2022. #Omicron.,novavax produksi komersial vaksin covid dikembangkan khusus varian omicron januari omicron,1,positif
Pasar di seluruh aset bergolak sepanjang pekan lalu akibat varian #omicron. Organisasi Kesehatan Dunia WHO mendesak… https://t.co/YkNBE2iWfN,pasar aset bergolak pekan akibat varian omicron organisasi kesehatan dunia who mendesak,-1,negatif
"Pada 4 Disember, pesakit mengalami demam dan sakit tekak dan dihantar ke NCID, dan ujian awalnya menunjukkan positi… https://t.co/hUsi3WLxMV",disember pesakit mengalami demam sakit tekak dihantar ncid ujian positi,-1,negatif
RT @antaranews: Varian Omicron yang banyak bermutasi tetap efektif dideteksi dengan tes PCR metode S-gene target failure (SGTF). Apa itu? Y…,varian omicron bermutasi efektif dideteksi tes pcr metode sgene target failure sgtf,1,positif
RT @ohtweet: ‘Total Lockdown’ Bukan Satu Langkah Yang Bijak Untuk Tangani Omicron – WHO | https://t.co/onbxydnCg0 #covid19 #Omicron #totall…,total lockdown langkah bijak tangani omicron who covid omicron totall,1,positif
Sinovac Siap Produksi Vaksin Covid-19 untuk Melawan Varian Omicron https://t.co/0nWhgnRNpV #Omicron #Sinovac #VaksinCovid-19,sinovac produksi vaksin covid melawan varian omicron omicron sinovac vaksincovid,0,netral
"Via WA 😂😂
#Omicron #OmicronVariant #COVID19  #MondayMotivation https://t.co/z6vNjv7djT",via wa omicron omicronvariant covid mondaymotivation,0,netral
"RT @phillipfutures: US Dolar #Index #DXY naik 0.18% ke level 96.29 saat ini, di tengah kekhawatiran naiknnya varian #Omicron &amp; tingginya #i…",us dolar index dxy level kekhawatiran naiknnya varian omicron tingginya i,-1,negatif
"US Dolar #Index #DXY naik 0.18% ke level 96.29 saat ini, di tengah kekhawatiran naiknnya varian #Omicron &amp; tingginy… https://t.co/88sOjcxuVK",us dolar index dxy level kekhawatiran naiknnya varian omicron tingginy,-1,negatif
"Ketika virus terus mengalami perubahan gen dari waktu ke waktu, sementara protokol kesehatan semakin diabaikan, mak… https://t.co/AhmEw1uwaM",virus mengalami perubahan gen protokol kesehatan diabaikan mak,-2,negatif
"Selengkapnya simak infografis di atas, untuk mengetahui info WNI/WNA yang mendapat perlakukan khusus guna menekan p… https://t.co/1pXcHyhzbl",simak infografis info wniwna perlakukan khusus menekan p,0,netral
"Pasar Takut Omicron, Rupiah Nyungsep

#rupiah #dolar #Omicron #OmicronVariant #RakyatMerdeka #RMid

https://t.co/HR5GYFePvS",pasar takut omicron nyungsep dolar omicron omicronvariant rakyatmerdeka rmid,-1,negatif
#Oil #Minyak mentah bergerak variatif di tengah kekhawatiran lonjakan kasus #Covid19 varian #Omicron  dapat mengura… https://t.co/mRE2VGA8bV,oil minyak mentah bergerak variatif kekhawatiran lonjakan covid varian omicron mengura,-1,negatif
‘Total Lockdown’ Bukan Satu Langkah Yang Bijak Untuk Tangani Omicron – WHO | https://t.co/onbxydnCg0 #covid19… https://t.co/gAlIkBQdvt,total lockdown langkah bijak tangani omicron who covid,1,positif
IMF menyatakan penurunan ekonomi global karena munculnya varian omicron #koranjakarta #mondial #omicron… https://t.co/jAO8pp3jbp,imf penurunan ekonomi global munculnya varian omicron koranjakarta mondial omicron,0,netral
"RT @IntradayDotMy: Selepas laporan NFP, tumpuan akan kembali terarah kepada #Omicron semula.

Dengarkan #sembangINTRADAY: https://t.co/HPj7…",selepas laporan nfp tumpuan terarah omicron dengarkan sembangintraday,0,netral
"#GLOBAL_MARKETS

#SGXNIFTY: 🟢+35(17270)
#DOW: 🔴-59(-0.17%)
Nasdaq: 🔴-295(-1.92%)
DOW FUT: 🟢+220(+0.64%)
HANGSENG: 🔴… https://t.co/klqcfHkrd1",globalmarkets sgxnifty dow nasdaq dow fut hangseng,0,netral
"Selamat pagi pendengar Radio Kaltara FM, apa kabar anda hari ini, semoga kita semua sll dalam lindungan Allah, tuha… https://t.co/Np0BZB8amZ",selamat pagi pendengar radio kaltara fm kabar semoga sll lindungan allah tuha,2,positif
"#SurveiKepercayaanPublik
#SumurResapAnggaran 
#SumurResapanAnggaran 
#Sumurresapan 
#Omicron 
#OmicronVirus… https://t.co/i56t0vhui4",surveikepercayaanpublik sumurresapanggaran sumurresapananggaran sumurresapan omicron omicronvirus,0,netral
"RT @erwinahmad_: Arab Saudi juga dijangka turut mempertimbang berhubung pengesanan varian baharu COVID-19, #Omicron yg dilaporkan berupaya…",arab saudi dijangka mempertimbang berhubung pengesanan varian baharu covid omicron dilaporkan berupaya,1,positif
"RT @erwinahmad_: Satu lagi negara iaitu #Malawi tersenarai dalam sekatan perjalanan sama ada penerbangan terus atau transit ke negara ini,…",negara iaitu malawi tersenarai sekatan perjalanan penerbangan transit negara,0,netral
"RT @erwinahmad_: Setakat ini, lapan negara disenaraikan dalam sekatan perjalanan memasuki Malaysia, iaitu Afrika Selatan, Botswana, Eswatin…",setakat lapan negara disenaraikan sekatan perjalanan memasuki malaysia iaitu afrika selatan botswana eswatin,0,netral
"Korsel Laporkan Tambahan Tiga Kasus Omicron https://t.co/dsH5nnvXZk

#korsel #kasus #covid19 #Omicron #fkcommunication #forumkeadilan",korsel laporkan tambahan omicron korsel covid omicron fkcommunication forumkeadilan,1,positif
"RT @Beritasatu: Varian baru Covid-19 Omicron telah menyebar di sepertiga negara bagian AS, namun Varian Delta tetap menjadi mayoritas.

Sel…",varian covid omicron menyebar sepertiga negara as varian delta mayoritas sel,0,netral
"Varian baru Covid-19 Omicron telah menyebar di sepertiga negara bagian AS, namun Varian Delta tetap menjadi mayorit… https://t.co/IxsuX4q0kZ",varian covid omicron menyebar sepertiga negara as varian delta mayorit,0,netral
"Terdeteksi di Malaysia, Bulungan Waspadai Varian Omicron

#covid19 #varianbaru #omicron #waspada #prokesketat… https://t.co/3Cnf7Zg33j",terdeteksi malaysia bulungan waspadai varian omicron covid varianbaru omicron waspada prokesketat,-1,negatif
"Akhir tahun juga diikuti periode pergantian cuaca, yang akan mempengaruhi daya tahan tubuh, menyebabkan mudah terse… https://t.co/ovKwUAWOOp",diikuti periode pergantian cuaca mempengaruhi daya tahan tubuh menyebabkan mudah terse,1,positif
Akselarasi vaksinasi dan penerapan protokol kesehatan yang ketat akan menjadi kunci utama mencegah gelombang lonjak… https://t.co/rPj1W4SeBH,akselarasi vaksinasi penerapan protokol kesehatan ketat kunci utama mencegah gelombang lonjak,0,netral
"Imbauan Kewaspadaan Terkait Perkembangan Pandemi Covid-19 varian Omicron di New South Wales, Queensland dan South A… https://t.co/5iOwLGeGfJ",imbauan kewaspadaan terkait perkembangan pandemi covid varian omicron new south wales queensland south a,0,netral
"Tidak ada sulitnya untuk disiplin protokol kesehatan dan mengikuti vaksinasi
#TaatProkesSelamaPandemi #Omicron… https://t.co/hbdXLpkl2U",sulitnya disiplin protokol kesehatan mengikuti vaksinasi taatprokesselamapandemi omicron,-1,negatif
"Omicron mengintai, kencangkan lagi prokesnya
#TaatProkesSelamaPandemi #Omicron #IndonesiaSehatIndonesiaHebat… https://t.co/lp77MwvDdb",omicron mengintai kencangkan prokesnya taatprokesselamapandemi omicron indonesiasehatindonesiahebat,0,netral
"Disiplin prokes dan vaksinasi terus menjadi kunci
#TaatProkesSelamaPandemi #Omicron #IndonesiaSehatIndonesiaHebat… https://t.co/ebuLMP2dx1",disiplin prokes vaksinasi kunci taatprokesselamapandemi omicron indonesiasehatindonesiahebat,0,netral
Varian Omicron yang banyak bermutasi tetap efektif dideteksi dengan tes PCR metode S-gene target failure (SGTF). Ap… https://t.co/bmWjBfDkIM,varian omicron bermutasi efektif dideteksi tes pcr metode sgene target failure sgtf ap,1,positif
RT @ditjen_imigrasi: Banyak yang tanya ke Mido bagaimana WNI yang akan kembali pulang ke Indonesia dari negara-negara yang terdeteksi Omicr…,mido wni pulang indonesia negaranegara terdeteksi omicr,0,netral
"RT @AitoFirework: Omicron sudah ada . Apa perlu buat?

Pakai mask, jaga penjarakkan sosial, lakukan self test sekiranya anda bergejala. 

L…",omicron pakai mask jaga penjarakkan sosial lakukan self test bergejala l,0,netral
"Omicron sudah ada . Apa perlu buat?

Pakai mask, jaga penjarakkan sosial, lakukan self test sekiranya anda bergejal… https://t.co/7ET7my2s2d",omicron pakai mask jaga penjarakkan sosial lakukan self test bergejal,0,netral
"RT @memeducacao: Omikron - A Alma Penada (Jogo com David Bowie)
#Omicron #Metaverso #Vacina #mRNA
https://t.co/v3VG8k8DSI https://t.co/m04l…",omikron a alma penada jogo com david bowie omicron metaverso vacina mrna,0,netral
"Selengkapnya baca di Koran Pikiran Rakyat

#KoranPikiranRakyat #PikiranRakyat #BeritaHariIni #WHO #VOC #VarianBaru #Omicron #COVID19",koran pikiran rakyat koranpikiranrakyat pikiranrakyat beritahariini who varianbaru omicron covid,0,netral
